Name,position,All_star_selections,height,weight,born
Michael Jordan,G,14,198,88,1963
Kobe Bryant,G,18,198,96,1978
Magic Johnson,G,12,201,98,1956
Kareem Abdul-Jabbar,C,19,218,102,1947
Tim Duncan,F,15,211,113,1976
Kevin Garnett,F,15,211,108,1976
Shaquille O'Neal,C,15,216,147,1972
Dennis Rodman,F,2,201,95,1961
Scottie Pippen,F,7,203,95,1965
Tracy McGrady,F,7,203,95,1979
Grant Hill,F,7,203,102,1972
Yao Ming,C,8,229,140,1980
Gary Payton,G,9,193,81,1968
Hakeem Olajuwon,C,12,213,115,1963
Allen Iverson,G,11,183,74,1975
Larry Bird,F,12,206,99,1956
Karl Malone,F,14,206,113,1963
Wilt Chamberlain,C,13,216,124,1936
Isiah Thomas,G,12,185,81,1961
Oscar Robertson,G,12,196,92,1938
Hakeem Olajuwon,C,12,213,115,1963
Jason Kidd,G,10,193,92,1973
Steve Nash,G,8,190,88,1974
Chris Bosh,F,11,211,106,1984
